customer_id,gender,age,car_model_year,annual_premium,total_loss,loss_ratio
1,Male,22,2011,2514.15,1820.01,0.7239
2,Female,26,2006,1465.14,0.0,0.0
3,Female,44,2012,1500.06,0.0,0.0
4,Female,25,2011,1843.39,0.0,0.0
5,Male,53,2019,1124.34,1966.13,1.7487
6,Male,39,2025,1314.01,0.0,0.0
7,Male,41,2020,1472.04,988.98,0.6718
8,Female,36,2024,1245.0,3839.97,3.0843
9,Female,49,2022,1290.21,0.0,0.0
10,Female,49,2021,1274.73,0.0,0.0
11,Male,44,2015,1292.69,0.0,0.0
12,Female,46,2012,1715.7,0.0,0.0
13,Female,37,2023,1166.93,0.0,0.0
14,Male,46,2024,1368.49,0.0,0.0
15,Male,35,2016,1343.08,0.0,0.0
16,Male,40,2000,1301.36,1866.43,1.4342
17,Male,36,2022,1218.53,0.0,0.0
18,Female,34,2011,1198.7,0.0,0.0
19,Male,31,2000,1868.71,799.39,0.4278
20,Male,45,2022,1261.17,0.0,0.0
21,Female,55,2017,1247.59,0.0,0.0
22,Male,54,2020,1227.55,562.25,0.458
23,Male,24,2024,1919.63,0.0,0.0
24,Male,55,2017,1318.65,0.0,0.0
25,Male,36,2017,1561.37,0.0,0.0
26,Female,47,2012,1429.1,0.0,0.0
27,Male,29,2012,1624.38,3809.65,2.3453
28,Male,41,2022,1456.81,0.0,0.0
29,Female,43,2015,1345.07,0.0,0.0
30,Male,22,2008,2267.42,1935.98,0.8538
31,Female,47,2005,1270.36,8162.73,6.4255
32,Male,56,2016,1425.76,0.0,0.0
33,Male,37,2016,1482.14,0.0,0.0
34,Female,56,2020,1441.63,823.15,0.571
35,Female,37,2016,1229.63,0.0,0.0
36,Female,50,2007,1791.62,0.0,0.0
37,Male,18,2017,2174.3,0.0,0.0
38,Male,69,2024,1223.5,4135.86,3.3804
39,Female,57,2007,1335.87,1866.63,1.3973
40,Male,36,2020,1568.97,1823.8,1.1624
41,Male,18,2018,2290.31,2130.14,0.9301
42,Male,43,2021,1360.67,0.0,0.0
43,Male,22,2007,2319.37,2178.8,0.9394
44,Female,45,2025,1060.25,5481.7,5.1702
45,Male,44,2019,1572.9,0.0,0.0
46,Female,28,2023,1273.54,0.0,0.0
47,Male,53,2010,1658.46,0.0,0.0
48,Female,49,2021,1427.63,0.0,0.0
49,Female,51,2022,1249.19,0.0,0.0
50,Male,40,2014,1609.03,0.0,0.0
51,Female,23,2014,2333.61,0.0,0.0
52,Female,51,2020,1306.09,0.0,0.0
53,Female,36,2005,1461.92,0.0,0.0
54,Female,23,2021,1811.33,1000.95,0.5526
55,Female,56,2002,1417.43,0.0,0.0
56,Female,65,2009,1452.98,0.0,0.0
57,Male,39,2020,1434.54,1187.09,0.8275
58,Male,65,2005,1738.76,0.0,0.0
59,Male,41,2025,1338.45,0.0,0.0
60,Male,35,2023,1129.37,0.0,0.0
61,Male,32,2019,1376.44,0.0,0.0
62,Male,59,2023,1463.81,0.0,0.0
63,Female,30,2024,1078.52,1346.9,1.2488
64,Male,48,2011,1516.23,0.0,0.0
65,Male,33,2023,1080.98,3060.34,2.8311
66,Female,34,2009,1243.67,858.37,0.6902
67,Male,52,2015,1568.75,0.0,0.0
68,Female,35,2018,1260.57,0.0,0.0
69,Male,35,2021,1605.68,0.0,0.0
70,Female,53,2002,1597.42,0.0,0.0
71,Female,59,2012,1460.8,327.85,0.2244
72,Male,47,2019,1239.76,4359.48,3.5164
73,Male,32,2013,1425.53,0.0,0.0
74,Female,33,2022,1152.12,0.0,0.0
75,Female,40,2020,1136.48,0.0,0.0
76,Female,43,2010,1510.01,0.0,0.0
77,Female,28,2007,1823.15,0.0,0.0
78,Male,48,2019,1444.74,5556.06,3.8457
79,Male,41,2015,1331.32,0.0,0.0
80,Male,19,2008,2337.39,0.0,0.0
81,Female,28,2012,1290.15,0.0,0.0
82,Female,33,2012,1570.73,4001.13,2.5473
83,Male,39,2006,1384.89,554.1,0.4001
84,Male,62,2018,1372.2,3474.77,2.5323
85,Male,42,2022,1358.14,0.0,0.0
86,Male,29,2018,1648.58,0.0,0.0
87,Female,42,2023,1219.86,0.0,0.0
88,Female,35,2006,1310.01,0.0,0.0
89,Female,43,2015,1496.32,399.6,0.2671
90,Male,46,2019,1155.08,0.0,0.0
91,Male,54,2020,1169.99,0.0,0.0
92,Female,39,2020,1258.39,1447.33,1.1501
93,Female,59,2021,1098.61,0.0,0.0
94,Female,50,2020,1427.52,0.0,0.0
95,Female,31,2005,1312.68,0.0,0.0
96,Male,66,2020,1746.42,0.0,0.0
97,Female,43,2021,1387.78,1233.59,0.8889
98,Male,29,2025,1674.47,449.51,0.2684
99,Male,59,2020,1633.0,0.0,0.0
100,Male,64,2020,1523.41,0.0,0.0
101,Male,39,2017,1276.53,0.0,0.0
102,Female,33,2023,1216.14,0.0,0.0
103,Male,37,2025,1222.56,0.0,0.0
104,Male,48,2022,1247.44,3163.84,2.5363
105,Female,55,2019,1305.81,0.0,0.0
106,Male,46,2004,1572.02,0.0,0.0
107,Male,41,2021,1256.04,0.0,0.0
108,Female,57,2021,1226.74,0.0,0.0
109,Male,36,2022,1416.36,0.0,0.0
110,Male,52,2006,1743.7,0.0,0.0
111,Male,36,2020,1153.56,0.0,0.0
112,Male,45,2012,1452.75,0.0,0.0
113,Female,38,2022,1225.63,0.0,0.0
114,Female,39,2010,1248.56,723.71,0.5796
115,Female,35,2020,1256.77,0.0,0.0
116,Female,56,2012,1407.73,0.0,0.0
117,Female,31,2000,1640.94,167.22,0.1019
118,Male,31,2019,1400.03,0.0,0.0
119,Female,65,2006,1478.16,0.0,0.0
120,Female,51,2020,1527.93,2499.58,1.6359
121,Female,18,2024,1906.88,2751.88,1.4431
122,Female,33,2025,1266.33,0.0,0.0
123,Male,18,2010,2440.27,0.0,0.0
124,Male,28,2022,1581.82,0.0,0.0
125,Male,18,2013,2426.33,0.0,0.0
126,Male,38,2024,1319.01,0.0,0.0
127,Female,26,2022,1429.93,4697.22,3.2849
128,Female,40,2004,1597.84,1006.89,0.6302
129,Male,20,2014,2462.59,1030.21,0.4183
130,Male,40,2013,1706.8,0.0,0.0
131,Male,35,2022,1422.26,0.0,0.0
132,Male,58,2015,1526.51,0.0,0.0
133,Male,56,2020,1469.38,1469.78,1.0003
134,Male,49,2019,1526.25,0.0,0.0
